table_name,column_name,data_type
intervention_deliveries,delivery_context,jsonb
intervention_deliveries,user_response,text
intervention_deliveries,effectiveness_score,double precision
intervention_effectiveness,id,integer
intervention_effectiveness,user_id,text
intervention_effectiveness,intervention_type,character varying
intervention_effectiveness,delivery_style,character varying
intervention_effectiveness,user_state_before,jsonb
intervention_effectiveness,user_state_after,jsonb
intervention_effectiveness,effectiveness_score,double precision
intervention_effectiveness,user_response_sentiment,character varying
intervention_effectiveness,led_to_breakthrough,boolean
intervention_effectiveness,analyzed_at,timestamp without time zone
intervention_queue,id,bigint
intervention_queue,user_id,text
intervention_queue,intervention_type,text
intervention_queue,reasons,text
intervention_queue,scheduled_for,timestamp with time zone
intervention_queue,sent_at,timestamp with time zone
intervention_queue,sent_message,text
intervention_queue,user_response,text
intervention_queue,was_helpful,boolean
intervention_queue,created_at,timestamp with time zone
intervention_queue,personalization_data,jsonb
intervention_queue,delivery_context,jsonb
intervention_queue,expected_impact,character varying
intervention_queue,actual_impact,character varying
intervention_queue,follow_up_required,boolean
intervention_queue,breakthrough_potential,double precision
intervention_queue,status,text
intervention_queue,error_count,numeric
intervention_queue,priority,numeric
intervention_queue,message,text
intervention_queue,metadata,jsonb
intervention_responses,intervention_id,uuid
intervention_responses,opened_at,timestamp without time zone
intervention_responses,action_taken,text
intervention_responses,action_taken_at,timestamp without time zone
intervention_responses,user_feedback,text
intervention_responses,created_at,timestamp without time zone
interventions_archive,intervention_id,uuid
interventions_archive,user_id,uuid
interventions_archive,intervention_type,text
interventions_archive,scheduled_for,timestamp without time zone
interventions_archive,channel,text
interventions_archive,message_preview,text
interventions_archive,rag_content,jsonb
interventions_archive,tracking_metrics,jsonb
interventions_archive,expected_impact,text
interventions_archive,status,text
interventions_archive,created_at,timestamp without time zone
interventions_archive,sent_at,timestamp without time zone
linguistic_evolution,id,integer
linguistic_evolution,user_id,text
linguistic_evolution,analysis_date,date
linguistic_evolution,vocabulary_complexity,double precision
linguistic_evolution,emotional_expression_depth,double precision
linguistic_evolution,certainty_language_ratio,double precision
linguistic_evolution,future_orientation_score,double precision
linguistic_evolution,ownership_language_score,double precision
linguistic_evolution,signature_phrases,jsonb
linguistic_evolution,language_patterns,jsonb
linguistic_evolution,growth_indicators,jsonb
living_memory,id,integer
living_memory,user_id,text
living_memory,timestamp,timestamp without time zone
living_memory,interaction_type,character varying
living_memory,content,jsonb
living_memory,emotional_state,character varying
living_memory,energy_level,integer
living_memory,focus_level,integer
living_memory,linguistic_patterns,jsonb
living_memory,behavioral_markers,jsonb
living_memory,context_tags,ARRAY
living_memory,prediction_accuracy,double precision
living_memory,decision_points,jsonb
living_memory,momentum_score,integer
living_memory,breakthrough_proximity,double precision
living_memory,unspoken_needs,jsonb
living_memory,growth_blockers,jsonb
memory_consolidation,id,integer
memory_consolidation,user_id,text
memory_consolidation,consolidated_insights,jsonb
memory_consolidation,memory_summary,jsonb
memory_consolidation,recommended_adaptations,jsonb
memory_consolidation,consolidation_date,timestamp without time zone
memory_consolidation,behavioral_predictions,jsonb
memory_consolidation,health_score,integer
memory_consolidation_queue,user_id,text
memory_consolidation_queue,trigger_type,character varying
memory_consolidation_queue,last_triggered,timestamp without time zone
micro_habits,id,uuid
micro_habits,user_id,uuid
micro_habits,habit_name,text
micro_habits,habit_category,text
micro_habits,micro_version,text
micro_habits,effort_seconds,integer
micro_habits,times_completed,integer
micro_habits,current_streak,integer
micro_habits,longest_streak,integer
micro_habits,last_completed,date
micro_habits,evolved_from,uuid
micro_habits,can_evolve_after,integer
micro_habits,created_at,timestamp without time zone
micro_habits,archived_at,timestamp without time zone
pattern_analysis_cache,cache_key,text
pattern_analysis_cache,user_id,uuid
pattern_analysis_cache,result,jsonb
pattern_analysis_cache,calculated_at,timestamp without time zone
pattern_analysis_cache,expires_at,timestamp without time zone
pattern_evolution,id,integer
pattern_evolution,user_id,text
pattern_evolution,pattern_type,character varying
pattern_evolution,evolution_stage,character varying
pattern_evolution,pattern_strength,double precision
pattern_evolution,identified_triggers,jsonb
pattern_evolution,predictions,jsonb
pattern_evolution,personalization,jsonb
pattern_evolution,intervention_strategy,jsonb
pattern_evolution,analyzed_at,timestamp without time zone
pattern_feedback,feedback_id,uuid
pattern_feedback,prediction_id,uuid
pattern_feedback,user_id,text
pattern_feedback,pattern_type,character varying
pattern_feedback,prediction_was_accurate,boolean
pattern_feedback,actual_outcome,text
pattern_feedback,feedback_timestamp,timestamp with time zone
pattern_feedback,learning_applied,boolean
pattern_intervention_log,id,uuid
pattern_intervention_log,user_id,text
pattern_intervention_log,pattern_type,text
pattern_intervention_log,intervention_type,text
pattern_intervention_log,confidence,double precision
pattern_intervention_log,scheduled_for,timestamp without time zone
pattern_intervention_log,priority,integer
pattern_intervention_log,created_at,timestamp without time zone
pattern_occurrences,id,uuid
pattern_occurrences,user_id,text
pattern_occurrences,pattern_type,text
pattern_occurrences,detected_at,timestamp without time zone
pattern_occurrences,confidence,double precision
pattern_occurrences,context,jsonb
pattern_occurrences,intervention_created,boolean
pattern_predictions,prediction_id,uuid
pattern_predictions,user_id,text
pattern_predictions,pattern_id,text
pattern_predictions,pattern_type,character varying
pattern_predictions,prediction_text,text
pattern_predictions,confidence_score,numeric
pattern_predictions,source_type,character varying
pattern_predictions,triggered_by,text
pattern_predictions,prediction_timestamp,timestamp with time zone
pattern_predictions,outcome_recorded,boolean
pattern_predictions,outcome_accuracy,numeric
pattern_predictions,user_feedback,text
pattern_predictions,created_at,timestamp with time zone
pattern_processing_queue,id,uuid
pattern_processing_queue,user_id,text
pattern_processing_queue,pattern_type,text
pattern_processing_queue,confidence,double precision
pattern_processing_queue,context,jsonb
pattern_processing_queue,severity,text
pattern_processing_queue,created_at,timestamp without time zone
pattern_processing_queue,processed,boolean
pattern_processing_queue,processed_at,timestamp without time zone
pattern_processing_queue,error_count,integer
pattern_processing_queue,last_error,text
pattern_rag_mapping,pattern_type,character varying
pattern_rag_mapping,preferred_personas,ARRAY
pattern_rag_mapping,preferred_domains,ARRAY
pattern_rag_mapping,keyword_boost,ARRAY
pattern_ready_data,user_id,uuid
pattern_ready_data,data_type,text
pattern_ready_data,validated_at,timestamp without time zone
pattern_ready_data,data_quality_score,double precision
pattern_ready_data,ready_for_analysis,boolean
pattern_relationships,id,integer
pattern_relationships,user_id,text
pattern_relationships,primary_pattern,character varying
pattern_relationships,secondary_pattern,character varying
pattern_relationships,correlation_strength,double precision
pattern_relationships,co_occurrence_count,integer
pattern_relationships,amplification_factor,double precision
pattern_relationships,discovered_at,timestamp without time zone
pattern_system_dashboard,active_users_24h,bigint
pattern_system_dashboard,users_drifting,bigint
pattern_system_dashboard,interventions_sent_24h,bigint
pattern_system_dashboard,action_rate_24h,double precision
pattern_system_dashboard,avg_query_time_ms,double precision
pattern_system_dashboard,active_processing,integer
pattern_system_dashboard,high_performing_content,bigint
pattern_system_dashboard,low_performing_content,bigint
query_performance_log,id,uuid
query_performance_log,query_name,text
query_performance_log,execution_time_ms,double precision
query_performance_log,created_at,timestamp without time zone
query_performance_log,user_id,text
query_performance_log,success,boolean
rag_effectiveness_assumptions,id,integer
rag_effectiveness_assumptions,demographic_profile,jsonb
rag_effectiveness_assumptions,pattern_type,character varying
rag_effectiveness_assumptions,persona_preference,ARRAY
rag_effectiveness_assumptions,document_type,character varying
rag_effectiveness_assumptions,domain,character varying
rag_effectiveness_assumptions,effectiveness_score,numeric
rag_effectiveness_assumptions,sample_size,integer
rag_effectiveness_assumptions,created_at,timestamp without time zone
relationship_dynamics,id,integer
relationship_dynamics,user_id,text
relationship_dynamics,trust_score,double precision
relationship_dynamics,challenge_acceptance,double precision
relationship_dynamics,vulnerability_level,double precision
relationship_dynamics,dependency_healthy,boolean
relationship_dynamics,relationship_depth,character varying
relationship_dynamics,breakthrough_correlation,double precision
relationship_dynamics,optimal_distance,jsonb
relationship_dynamics,evolution_stage,character varying
relationship_dynamics,last_updated,timestamp without time zone
solopreneur_assumptions,id,integer
solopreneur_assumptions,assumption_key,character varying
solopreneur_assumptions,assumption_text,text
solopreneur_assumptions,trigger_patterns,ARRAY
solopreneur_assumptions,cost_impact,text
solopreneur_assumptions,solution_action,text
solopreneur_assumptions,mirror_question,text
solopreneur_assumptions,pattern_category,character varying
solopreneur_assumptions,accuracy_rate,integer
solopreneur_assumptions,shock_value,integer
solopreneur_assumptions,time_of_day_relevance,character varying
solopreneur_assumptions,revenue_stage,character varying
solopreneur_assumptions,created_at,timestamp with time zone
solopreneur_assumptions,updated_at,timestamp with time zone
state_evolution,id,integer
state_evolution,user_id,text
state_evolution,createdAt,timestamp without time zone
state_evolution,state_type,character varying
state_evolution,state_value,jsonb
state_evolution,confidence,numeric
state_evolution,triggers,jsonb
state_evolution,next_state_prediction,text
task_history,id,integer
task_history,user_id,character varying
task_history,task_type,text
task_history,task_requested,text
task_history,task_output,text
task_history,was_used,boolean
task_history,used_date,timestamp without time zone
task_history,revenue_after_use,numeric
task_history,pattern_confidence,numeric
task_history,created_at,timestamp with time zone
task_history,session_id,character varying
task_history,metadata,jsonb
universal_behavioral_patterns,id,integer
universal_behavioral_patterns,pattern_type,character varying
universal_behavioral_patterns,demographic_profile,jsonb
universal_behavioral_patterns,trigger_scenario,text
universal_behavioral_patterns,assumption_pattern,text
universal_behavioral_patterns,confidence_score,numeric
universal_behavioral_patterns,shock_value,integer
universal_behavioral_patterns,cross_domain_impacts,jsonb
universal_behavioral_patterns,intervention_timing,character varying
universal_behavioral_patterns,created_at,timestamp without time zone
universal_behavioral_patterns,last_updated,timestamp without time zone
universal_behavioral_patterns,usage_count,integer
universal_behavioral_patterns,effectiveness_score,numeric
universal_patterns,pattern_id,uuid
universal_patterns,pattern_type,character varying
universal_patterns,pattern_name,character varying
universal_patterns,trigger_phrases,ARRAY
universal_patterns,prediction_template,text
universal_patterns,confidence_score,numeric
universal_patterns,data_needed,ARRAY
universal_patterns,active,boolean
universal_patterns,created_at,timestamp with time zone
user_behavioral_data,data_id,uuid
user_behavioral_data,user_id,text
user_behavioral_data,data_type,character varying
user_behavioral_data,data_value,text
user_behavioral_data,context,jsonb
user_behavioral_data,captured_at,timestamp with time zone
user_behavioral_data,processed,boolean
user_breakthroughs,id,integer
user_breakthroughs,user_id,text
user_breakthroughs,breakthrough_type,character varying
user_breakthroughs,breakthrough_magnitude,character varying
user_breakthroughs,precipitating_factors,jsonb
user_breakthroughs,patterns_broken,jsonb
user_breakthroughs,new_baseline_established,jsonb
user_breakthroughs,catalyst_intervention,text
user_breakthroughs,time_to_breakthrough,interval
user_breakthroughs,sustained,boolean
user_breakthroughs,breakthrough_date,timestamp without time zone
user_business_context,user_id,text
user_business_context,business_type,text
user_business_context,revenue_model,text
user_business_context,business_stage,text
user_business_context,monthly_revenue_range,text
user_business_context,product_category,text
user_business_context,inventory_count,integer
user_business_context,ecom_conversion_rate,numeric
user_business_context,monthly_recurring_revenue,numeric
user_business_context,churn_rate,numeric
user_business_context,active_subscribers,integer
user_business_context,client_count,integer
user_business_context,average_project_value,numeric
user_business_context,client_retention_rate,numeric
user_business_context,follower_count,integer
user_business_context,content_engagement_rate,numeric
user_business_context,posting_frequency,text
user_dynamic_profile,user_id,text
user_dynamic_profile,trust_level,integer
user_dynamic_profile,challenge_tolerance,integer
user_dynamic_profile,behavioral_health_score,integer
user_dynamic_profile,preferred_intervention_style,character varying
user_dynamic_profile,communication_style,character varying
user_dynamic_profile,current_energy,text
user_dynamic_profile,momentum_velocity,text
user_dynamic_profile,emotional_state,text
user_dynamic_profile,breakthrough_proximity,text
user_dynamic_profile,current_risks,jsonb
user_dynamic_profile,behavioral_dna,jsonb
user_dynamic_profile,blind_spots,jsonb
user_dynamic_profile,kryptonite,jsonb
user_dynamic_profile,superpower,jsonb
user_dynamic_profile,intervention_playbook,jsonb
user_dynamic_profile,vocabulary_complexity,double precision
user_dynamic_profile,emotional_expression_depth,double precision
user_dynamic_profile,certainty_language_ratio,double precision
user_dynamic_profile,ownership_language_score,double precision
user_dynamic_profile,signature_phrases,jsonb
user_dynamic_profile,current_altitude,integer
user_dynamic_profile,current_momentum,double precision
user_dynamic_profile,energy_reserves,integer
user_dynamic_profile,confidence_level,double precision
user_dynamic_profile,clarity_score,double precision
user_dynamic_profile,business_model_type,text
user_dynamic_profile,growth_stage,text
user_dynamic_profile,business_complexity_score,integer
user_dynamic_profile,recent_breakthroughs,jsonb
user_journey_dashboard,user_id,text
user_journey_dashboard,email,text
user_journey_dashboard,journey_direction,text
user_journey_dashboard,altitude_score,integer
user_journey_dashboard,momentum,text
user_journey_dashboard,today_improvement_pct,double precision
user_journey_dashboard,compound_multiplier,double precision
user_journey_dashboard,energy_level,integer
user_journey_dashboard,next_micro_step,text
user_journey_dashboard,ready_for_evolution,boolean
user_journey_state,user_id,uuid
user_journey_state,journey_started,date
user_journey_state,current_altitude,integer
user_journey_state,current_momentum,double precision
user_journey_state,current_direction,text
user_journey_state,base_camp_reached,boolean
user_journey_state,camp_1_reached,boolean
user_journey_state,camp_2_reached,boolean
user_journey_state,energy_reserves,integer
user_journey_state,confidence_level,double precision
user_journey_state,clarity_score,double precision
user_journey_state,updated_at,timestamp without time zone
user_pathway_assignments,user_id,text
user_pathway_assignments,pathway_id,character varying
user_pathway_assignments,confidence_score,numeric
user_pathway_assignments,classification_date,timestamp with time zone
user_pathway_assignments,drive_level,integer
user_pathway_assignments,execution_style,integer
user_pathway_assignments,risk_tolerance,integer
user_pathway_assignments,social_orientation,integer
user_pathway_assignments,learning_speed,integer
user_pathway_assignments,communication_preference,character varying
user_pathway_assignments,complexity_tolerance,integer
user_pathway_assignments,urgency_sensitivity,integer
user_pathways,pathway_id,character varying
user_pathways,pathway_name,character varying
user_pathways,core_problems,ARRAY
user_pathways,core_solutions,ARRAY
user_pathways,behavioral_signature,jsonb
user_pathways,assumption_priorities,jsonb
user_pattern_activity,user_id,text
user_pattern_activity,last_pattern_detected,timestamp without time zone
user_pattern_activity,last_pattern_type,text
user_pattern_activity,pattern_frequency,integer
user_pattern_activity,last_intervention_scheduled,timestamp without time zone
user_pattern_activity,updated_at,timestamp without time zone
user_patterns,id,bigint
user_patterns,user_id,text
user_patterns,pattern_type,text
user_patterns,pattern_data,jsonb
user_patterns,confidence,numeric
user_patterns,first_detected,timestamp with time zone
user_patterns,last_observed,timestamp with time zone
user_patterns,occurrence_count,integer
user_patterns,evolution_trajectory,jsonb
user_patterns,breaking_point_indicators,jsonb
user_patterns,reinforcement_triggers,jsonb
user_patterns,resolution_pathways,jsonb
user_personalization,id,bigint
user_personalization,created_at,timestamp with time zone
user_personalization,language_patterns,jsonb
user_personalization,trust_level,integer
user_personalization,preferred_intervention_style,character varying
user_personalization,preferred_depth,character varying
user_personalization,last_evolution,timestamp without time zone
user_personalization,user_id,text
user_personalization,communication_style,character varying
user_personalization,effective_motivators,jsonb
user_personalization,resistance_points,jsonb
user_personalization,signature_phrases,jsonb
user_personalization,emotional_baseline,jsonb
user_personalization,response_preferences,jsonb
user_personalization,growth_trajectory,character varying
user_personalization,breakthrough_patterns,jsonb
user_personalization,intervention_effectiveness,jsonb
user_personalization,onboarding_data,jsonb
user_personalization,onboarding_completed,boolean
user_personalization,onboarding_stage,integer
user_personalization,demographic_profile,jsonb
user_personalization,user_profile_data,text
user_personalization,last_updated,timestamp with time zone
user_personalization,challenge_tolerance,integer
user_personalization,optimal_intervention_times,jsonb
user_personalization,behavioral_health_score,integer
user_personalization,last_adaptation,timestamp without time zone
user_personalization,reminders_enabled,text
user_personalization,sms_telegram,text
user_personalization,email_gmail,text
user_personalization,business_model_type,text
user_personalization,primary_revenue_stream,text
user_personalization,automation_preferences,jsonb
user_personalization,growth_stage,text
user_personalization,business_complexity_score,integer
user_predictions,id,integer
user_predictions,user_id,text
user_predictions,prediction_type,character varying
user_predictions,predictions,jsonb
user_predictions,confidence,double precision
user_predictions,created_at,timestamp without time zone
user_profile_completeness,id,uuid
user_profile_completeness,user_id,text
user_profile_completeness,created_at,timestamp without time zone
user_profile_completeness,last_input_date,timestamp without time zone
user_profile_completeness,last_goal_update,timestamp without time zone
user_profile_completeness,last_fitness_activity,timestamp without time zone
user_profile_completeness,last_business_input,timestamp without time zone
user_profile_completeness,total_interactions,integer
user_profile_completeness,categories_tracked,jsonb
user_profile_completeness,completeness_score,integer
user_profile_completeness,missing_categories,jsonb
user_profile_completeness,learning_priority,text
user_profile_completeness,updated_at,timestamp without time zone
user_profile_completeness,revenue_stage,text
user_rag_history,id,uuid
user_rag_history,user_id,uuid
user_rag_history,rag_id,text
user_rag_history,shown_at,timestamp without time zone
user_rag_history,opened_at,timestamp without time zone
user_rag_history,action_taken,boolean
user_rag_history,feedback,text
user_state_evolution,id,integer
user_state_evolution,user_id,text
user_state_evolution,state_timestamp,timestamp without time zone
user_state_evolution,energy_trajectory,jsonb
user_state_evolution,focus_trajectory,jsonb
user_state_evolution,momentum_trajectory,jsonb
user_state_evolution,emotional_journey,jsonb
user_state_evolution,breakthrough_indicators,jsonb
user_state_evolution,risk_factors,jsonb
user_state_evolution,opportunity_windows,jsonb
user_state_evolution,next_evolution_predicted,jsonb
